ID,Hora de início,Hora de conclusão,Email,Nome,Hora da última modificação,Data de nascimento,Com qual gênero você se identifica?,"Em qual ano do ensino médio você está?
","Você pretende fazer um curso universitário no próximo ano ou quando terminar o 3º ano?
","Em qual universidade?
",Qual o turno de sua preferência?,Tecnologia e inovação,Resolver desafios lógicos e matemáticos,Matemática,Português,"Qual a sua matéria preferida na escola? (resposta aberta)
","Já teve contato com programação ou desenvolvimento de jogos/aplicações?
",Você gosta de jogos eletrônicos? ,Videogame,Computador,Internet residencial (Wi-Fi),Celular,Internet no celular,As explicações dos estudantes foram claras e fáceis de entender.,As aplicações apresentadas despertaram meu interesse.,O uso das tecnologias nas oficinas foi adequado e interessante,A atividade ajudou-me a compreender melhor o que é o curso de Ciência da Computação,"De modo geral, a experiência do evento foi positiva."
1,10/8/25 8:58:22,10/8/25 9:06:29,anonymous,,,10/8/2025,Homem,3º ano,Não,Pública,Noite,Muito interesse,Algum interesse,Nenhum interesse,Algum interesse,History ,Ainda não,Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
2,10/8/25 9:45:09,10/8/25 10:02:55,anonymous,,,6/13/2008,Homem,3º ano,Sim,Pública,Manhã,Algum interesse,Nenhum interesse,Nenhum interesse,Muito interesse,sociologia,"Sim, já pratiquei",Sim,Não,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente
3,10/8/25 9:45:56,10/8/25 10:06:50,anonymous,,,1/24/2008,Homem,3º ano,Sim,Pública,Manhã,Muito interesse,Nenhum interesse,Nenhum interesse,Algum interesse,filosofia,"Sim, já pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
4,10/8/25 9:47:13,10/8/25 10:07:57,anonymous,,,12/28/2007,Homem,3º ano,Sim,Pública,Manhã,Muito interesse,Algum interesse,Algum interesse,Algum interesse,"matematica,quimica","Já vi, mas nunca pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Discordo parcialmente,Nem concordo nem discordo,Concordo parcialmente,Concordo parcialmente,Nem concordo nem discordo
5,10/8/25 9:43:36,10/8/25 10:08:17,anonymous,,,12/10/2008,Homem,2º ano,Sim,Privada,Manhã,Muito interesse,Pouco interesse,Pouco interesse,Nenhum interesse,educação fisica,"Já vi, mas nunca pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Nem concordo nem discordo,Concordo parcialmente,Nem concordo nem discordo,Concordo parcialmente
6,10/8/25 10:07:23,10/8/25 10:08:19,anonymous,,,7/17/2008,Homem,2º ano,Sim,Pública,Manhã,Algum interesse,Algum interesse,Algum interesse,Algum interesse,Matematica,"Já vi, mas nunca pratiquei",Sim,Não,Sim,Sim,Sim,Não,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
7,10/8/25 9:47:40,10/8/25 10:08:21,anonymous,,,8/24/2008,Homem,2º ano,Sim,Pública,Manhã,Muito interesse,Pouco interesse,Pouco interesse,Pouco interesse,História,"Sim, já pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
8,10/8/25 9:44:15,10/8/25 10:08:27,anonymous,,,2/20/2009,Homem,2º ano,Sim,Privada,Noite,Muito interesse,Pouco interesse,Pouco interesse,Pouco interesse,educação fisica,"Sim, já pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente
9,10/8/25 9:54:40,10/8/25 10:08:41,anonymous,,,5/29/2009,Homem,2º ano,Sim,Pública,Manhã,Algum interesse,Muito interesse,Muito interesse,Nenhum interesse,Química,"Já vi, mas nunca pratiquei",Sim,Não,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Nem concordo nem discordo,Concordo totalmente
10,10/8/25 10:07:03,10/8/25 10:09:00,anonymous,,,6/18/2009,Homem,2º ano,Sim,Pública,Manhã,Muito interesse,Algum interesse,Algum interesse,Algum interesse,Matematica,"Sim, já pratiquei",Sim,Sim,Sim,Sim,Sim,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
